series_id,Channel,Category,Customer Segment,Forecast Week,Forecast
DTH|CKM|Key Account,DTH,CKM,Key Account,2025-04-14,19.0491580989551
DTH|1 Jar|Regular,DTH,1 Jar,Regular,2025-04-14,392.49535332574504
DTH|2 Jars|Regular,DTH,2 Jars,Regular,2025-04-14,206.01075705656194
DTH|CKM|Regular,DTH,CKM,Regular,2025-04-14,124.42165752979804
DTH|1 Jar|Top Account,DTH,1 Jar,Top Account,2025-04-14,22.017036148908915
DTH|2 Jars|Top Account,DTH,2 Jars,Top Account,2025-04-14,12.034631394047555
DTH|CKM|Top Account,DTH,CKM,Top Account,2025-04-14,7.008691550172131
EBO|1 Jar|Key Account,EBO,1 Jar,Key Account,2025-04-14,104.8199266793459
EBO|2 Jars|Key Account,EBO,2 Jars,Key Account,2025-04-14,96.94490259157035
EBO|Blender|Key Account,EBO,Blender,Key Account,2025-04-14,78.41019480426776
EBO|CKM|Key Account,EBO,CKM,Key Account,2025-04-14,56.73743167422134
EBO|1 Jar|Regular,EBO,1 Jar,Regular,2025-04-14,329.2287612344938
EBO|2 Jars|Regular,EBO,2 Jars,Regular,2025-04-14,298.46437524491245
EBO|Blender|Regular,EBO,Blender,Regular,2025-04-14,207.93209653467886
EBO|CKM|Regular,EBO,CKM,Regular,2025-04-14,165.749362314368
EBO|1 Jar|Top Account,EBO,1 Jar,Top Account,2025-04-14,22.653853435961828
EBO|2 Jars|Top Account,EBO,2 Jars,Top Account,2025-04-14,15.731505458167394
EBO|Blender|Top Account,EBO,Blender,Top Account,2025-04-14,16.35884826430785
EBO|CKM|Top Account,EBO,CKM,Top Account,2025-04-14,10.391888222377023
ECOM B2B|2 Jars|Key Account,ECOM B2B,2 Jars,Key Account,2025-04-14,138.02110399077037
ECOM B2B|CKM|Key Account,ECOM B2B,CKM,Key Account,2025-04-14,124.67584621279264
ECOM B2B|FP|Key Account,ECOM B2B,FP,Key Account,2025-04-14,63.34504771818997
ECOM B2B|Thunder|Key Account,ECOM B2B,Thunder,Key Account,2025-04-14,59.76771620529955
ECOM B2B|2 Jars|Regular,ECOM B2B,2 Jars,Regular,2025-04-14,0.21655213046146624
ECOM B2B|CKM|Regular,ECOM B2B,CKM,Regular,2025-04-14,94.72648691557174
ECOM B2B|FP|Regular,ECOM B2B,FP,Regular,2025-04-14,46.51425044806373
ECOM B2B|Thunder|Regular,ECOM B2B,Thunder,Regular,2025-04-14,51.287332125300885
ECOM B2B|2 Jars|Top Account,ECOM B2B,2 Jars,Top Account,2025-04-14,32.06869748008667
ECOM B2B|CKM|Top Account,ECOM B2B,CKM,Top Account,2025-04-14,23.498415632459686
