series_id,Channel,Category,Customer Segment,Week,origin_week,horizon,pred,actual,abs_err,APE
MT|1 Jar|Top Account,MT,1 Jar,Top Account,2024-11-18,2024-11-18,1,0.09927401995518553,138.713,138.61372598004482,0.9992843207200827
MT|2 Jars|Key Account,MT,2 Jars,Key Account,2024-11-18,2024-11-18,1,735.0225887066408,639.322,95.70058870664081,0.1496907484908087
MT|2 Jars|Regular,MT,2 Jars,Regular,2024-11-18,2024-11-18,1,0.10144314231050042,905.086,904.9845568576895,0.9998879187808557
MT|2 Jars|Top Account,MT,2 Jars,Top Account,2024-11-18,2024-11-18,1,208.31143440653847,189.044,19.267434406538456,0.1019203698955717
MT|3 Jars|Key Account,MT,3 Jars,Key Account,2024-11-18,2024-11-18,1,279.9036017609695,236.294,43.60960176096947,0.18455653449080156
MT|3 Jars|Regular,MT,3 Jars,Regular,2024-11-18,2024-11-18,1,361.60517995709523,347.896,13.709179957095216,0.039405971776321706
MT|3 Jars|Top Account,MT,3 Jars,Top Account,2024-11-18,2024-11-18,1,62.22382362511271,66.444,4.220176374887295,0.06351478500522688
MT|CKM|Key Account,MT,CKM,Key Account,2024-11-18,2024-11-18,1,599.4175964885133,396.52,202.89759648851327,0.5116957441957866
MT|CKM|Regular,MT,CKM,Regular,2024-11-18,2024-11-18,1,542.1411813227936,653.337,111.19581867720638,0.17019672646307554
MT|CKM|Top Account,MT,CKM,Top Account,2024-11-18,2024-11-18,1,150.3170530583449,108.295,42.022053058344895,0.38803317843247515
MT|Thunder|Key Account,MT,Thunder,Key Account,2024-11-18,2024-11-18,1,263.92754558259344,212.65,51.27754558259343,0.24113588329458469
MT|Thunder|Regular,MT,Thunder,Regular,2024-11-18,2024-11-18,1,310.478502254915,392.116,81.637497745085,0.2081973134100241
MT|Thunder|Top Account,MT,Thunder,Top Account,2024-11-18,2024-11-18,1,66.70321706404359,55.785,10.918217064043588,0.1957195852656375
Others|1 Jar|Key Account,Others,1 Jar,Key Account,2024-11-18,2024-11-18,1,15.809190060497551,19.653,3.8438099395024476,0.19558387724532886
Others|1 Jar|Regular,Others,1 Jar,Regular,2024-11-18,2024-11-18,1,0.10598101924706951,111.589,111.48301898075293,0.9990502556771091
Others|1 Jar|Top Account,Others,1 Jar,Top Account,2024-11-18,2024-11-18,1,5.439300833323723,4.657,0.7823008333237231,0.1679838594210271
Others|2 Jars|Key Account,Others,2 Jars,Key Account,2024-11-18,2024-11-18,1,16.170407423881777,11.918,4.2524074238817775,0.3568054559390651
Others|2 Jars|Regular,Others,2 Jars,Regular,2024-11-18,2024-11-18,1,64.35984884886153,0.0,64.35984884886153,64359848.84886154
Others|2 Jars|Top Account,Others,2 Jars,Top Account,2024-11-18,2024-11-18,1,3.837940307460332,2.323,1.514940307460332,0.6521482167285114
Others|CKM|Key Account,Others,CKM,Key Account,2024-11-18,2024-11-18,1,9.555291101108807,5.833,3.722291101108807,0.6381435112478667
Others|CKM|Regular,Others,CKM,Regular,2024-11-18,2024-11-18,1,57.08750785041201,51.1,5.987507850412008,0.11717236497870857
Others|CKM|Top Account,Others,CKM,Top Account,2024-11-18,2024-11-18,1,2.3760243045035576,2.031,0.3450243045035575,0.16987902732819177
Website|1 Jar|Key Account,Website,1 Jar,Key Account,2024-11-18,2024-11-18,1,9.67864197611809,9.704,0.02535802388191044,0.0026131516778555687
Website|1 Jar|Regular,Website,1 Jar,Regular,2024-11-18,2024-11-18,1,168.778740499954,163.712,5.066740499954022,0.030949108800540113
Website|2 Jars|Key Account,Website,2 Jars,Key Account,2024-11-18,2024-11-18,1,8.591952554745815,7.712,0.8799525547458149,0.1141017316838453
Website|2 Jars|Regular,Website,2 Jars,Regular,2024-11-18,2024-11-18,1,134.09761183781833,129.18,4.917611837818328,0.03806790399302003
Website|Gift Combos|Key Account,Website,Gift Combos,Key Account,2024-11-18,2024-11-18,1,6.106239286586468,6.615,0.5087607134135324,0.0769101607579036
Website|Gift Combos|Regular,Website,Gift Combos,Regular,2024-11-18,2024-11-18,1,110.08903211725166,108.031,2.0580321172516562,0.019050384771516105
Website|NB Smart 2 Jar|Key Account,Website,NB Smart 2 Jar,Key Account,2024-11-18,2024-11-18,1,4.747636499758908,0.0,4.747636499758908,4747636.4997589085
Website|NB Smart 2 Jar|Regular,Website,NB Smart 2 Jar,Regular,2024-11-18,2024-11-18,1,107.11464329315378,67.159,39.95564329315377,0.5949410100381746
CG|1 Jar|Key Account,CG,1 Jar,Key Account,2024-11-25,2024-11-18,2,0.10874650489289883,295.613,295.5042534951071,0.9996321321968489
CG|1 Jar|Regular,CG,1 Jar,Regular,2024-11-25,2024-11-18,2,378.73660046867053,0.0,378.73660046867053,378736600.46867055
CG|1 Jar|Top Account,CG,1 Jar,Top Account,2024-11-25,2024-11-18,2,67.87004567291953,63.105,4.765045672919534,0.07550979594199404
CG|2 Jars|Key Account,CG,2 Jars,Key Account,2024-11-25,2024-11-18,2,475.37694647799907,508.674,33.29705352200091,0.06545853242351862
CG|2 Jars|Regular,CG,2 Jars,Regular,2024-11-25,2024-11-18,2,612.8845160432551,572.928,39.95651604325508,0.06974090294636512
CG|2 Jars|Top Account,CG,2 Jars,Top Account,2024-11-25,2024-11-18,2,99.81339419630085,129.65,29.836605803699157,0.23013193832394258
CG|3 Jars|Key Account,CG,3 Jars,Key Account,2024-11-25,2024-11-18,2,208.85858489251842,211.347,2.488415107481586,0.011774073478599583
CG|3 Jars|Regular,CG,3 Jars,Regular,2024-11-25,2024-11-18,2,206.91423443821938,219.504,12.58976556178061,0.05735551772077324
CG|3 Jars|Top Account,CG,3 Jars,Top Account,2024-11-25,2024-11-18,2,52.89310577600933,37.708,15.18510577600933,0.4027024975074077
CG|CKM|Key Account,CG,CKM,Key Account,2024-11-25,2024-11-18,2,349.26559075990104,467.737,118.47140924009898,0.2532863751212732
CG|CKM|Regular,CG,CKM,Regular,2024-11-25,2024-11-18,2,533.287255295928,486.515,46.77225529592806,0.09613733450341318
CG|CKM|Top Account,CG,CKM,Top Account,2024-11-25,2024-11-18,2,84.0576661594113,115.008,30.950333840588698,0.26911461672743375
CG|NB Smart 2 Jar|Key Account,CG,NB Smart 2 Jar,Key Account,2024-11-25,2024-11-18,2,0.10948060046943069,287.487,287.37751939953057,0.9996191806917549
CG|NB Smart 2 Jar|Regular,CG,NB Smart 2 Jar,Regular,2024-11-25,2024-11-18,2,353.6278130810125,309.49,44.137813081012496,0.14261466632528513
CG|NB Smart 2 Jar|Top Account,CG,NB Smart 2 Jar,Top Account,2024-11-25,2024-11-18,2,71.82566423945471,69.233,2.592664239454706,0.03744838789962454
Canteen|2 Jars|Key Account,Canteen,2 Jars,Key Account,2024-11-25,2024-11-18,2,80.70325606691314,84.417,3.7137439330868602,0.04399284425040999
Canteen|2 Jars|Regular,Canteen,2 Jars,Regular,2024-11-25,2024-11-18,2,893.5768511315878,0.0,893.5768511315878,893576851.1315879
Canteen|2 Jars|Top Account,Canteen,2 Jars,Top Account,2024-11-25,2024-11-18,2,24.856335183067223,24.802,0.054335183067223625,0.0021907581270552224
Canteen|3 Jars|Key Account,Canteen,3 Jars,Key Account,2024-11-25,2024-11-18,2,54.480641006262275,43.059,11.421641006262277,0.2652556029230191
Canteen|3 Jars|Regular,Canteen,3 Jars,Regular,2024-11-25,2024-11-18,2,0.11828957975909503,512.299,512.1807104202409,0.9997691005062296
Canteen|3 Jars|Top Account,Canteen,3 Jars,Top Account,2024-11-25,2024-11-18,2,13.628573801159694,13.344,0.284573801159695,0.021325974307531102
